== 30: by own time ==
         63729564 function calls (62716377 primitive calls) in 17.986 seconds

   Ordered by: internal time
   List reduced from 114 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    4.026    4.026    8.622    8.622 <scratch>/frozen-after/sidecar.py:1028(_candidate_pairs)
  1315016    2.422    0.000    3.029    0.000 <scratch>/frozen-after/sidecar.py:1437(_inside_split)
       21    1.339    0.064    1.745    0.083 <scratch>/frozen-after/sidecar.py:1111(file)
   544080    1.197    0.000    1.639    0.000 <scratch>/frozen-after/sidecar.py:1457(_carried_fast)
  3947784    1.191    0.000    1.191    0.000 {built-in method builtins.round}
 10054256    0.960    0.000    1.070    0.000 {built-in method builtins.max}
   302560    0.842    0.000    1.316    0.000 <scratch>/frozen-after/sidecar.py:884(_moved_box_direct)
 12619244    0.812    0.000    0.812    0.000 {built-in method builtins.abs}
  7760346    0.793    0.000    0.793    0.000 {method 'append' of 'list' objects}
  1315016    0.611    0.000    1.801    0.000 <scratch>/frozen-after/sidecar.py:1431(_pose_of)
  4442073    0.552    0.000    0.552    0.000 {method 'get' of 'dict' objects}
  1432752    0.457    0.000    0.457    0.000 <scratch>/frozen-after/sidecar.py:997(_boxes_miss)
  1079192    0.429    0.000    0.429    0.000 <scratch>/frozen-after/sidecar.py:1315(_slid)
  2615172    0.403    0.000    0.403    0.000 {method 'setdefault' of 'dict' objects}
  1815360    0.360    0.000    0.488    0.000 <scratch>/frozen-after/sidecar.py:1015(_cell)
  2093188    0.295    0.000    0.295    0.000 {built-in method builtins.min}
  3237576    0.237    0.000    0.237    0.000 {built-in method math.isinf}
   907680    0.160    0.000    0.236    0.000 <scratch>/frozen-after/sidecar.py:1019(_grid_level)
  1815360    0.128    0.000    0.128    0.000 {built-in method math.floor}
  1617576    0.126    0.000    0.126    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:1805(wrapped)
  1210240    0.109    0.000    0.109    0.000 <scratch>/frozen-after/sidecar.py:1099(<genexpr>)
1012580/0    0.104    0.000    0.000          <scratch>/frozen-after/sidecar.py:1483(rotation_id)
   830704    0.095    0.000    0.095    0.000 {built-in method builtins.len}
        1    0.083    0.083    0.129    0.129 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\heapq.py:463(nsmallest)
   921320    0.076    0.000    0.076    0.000 {built-in method math.ldexp}
   302560    0.068    0.000    0.068    0.000 {method 'pack' of '_struct.Struct' objects}
   528000    0.039    0.000    0.039    0.000 <scratch>/frozen-after/sidecar.py:1610(<lambda>)
       17    0.032    0.002    0.378    0.022 {built-in method builtins.sorted}
        2    0.026    0.013    0.026    0.013 {method 'sort' of 'list' objects}
     5680    0.003    0.000    0.003    0.000 {built-in method _heapq._heapreplace_max}
    149/3    0.001    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:3779(shapetype)
        1    0.001    0.001    0.001    0.001 <scratch>/frozen-after/sidecar.py:1473(_pair_keys)
        8    0.001    0.000    0.001    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:1051(__init__)
        6    0.001    0.000    0.001    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:802(compute_mass)
        1    0.001    0.001    0.001    0.001 {built-in method _heapq._heapify_max}
        6    0.000    0.000    0.000    0.000 {built-in method OCP.OCP.BRepGProp.VolumeProperties_s}
        1    0.000    0.000    0.001    0.001 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:1142(bounding_box)
     99/2    0.000    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:3701(downcast)
      304    0.000    0.000    0.001    0.000 <scratch>/frozen-after/sidecar.py:1425(_rounded_rotation)
       30    0.000    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\composite.py:517(__bool__)



== 30: by cumulative time ==
         63729564 function calls (62716377 primitive calls) in 17.986 seconds

   Ordered by: cumulative time
   List reduced from 114 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    4.026    4.026    8.622    8.622 <scratch>/frozen-after/sidecar.py:1028(_candidate_pairs)
  1315016    2.422    0.000    3.029    0.000 <scratch>/frozen-after/sidecar.py:1437(_inside_split)
  1315016    0.611    0.000    1.801    0.000 <scratch>/frozen-after/sidecar.py:1431(_pose_of)
       21    1.339    0.064    1.745    0.083 <scratch>/frozen-after/sidecar.py:1111(file)
   544080    1.197    0.000    1.639    0.000 <scratch>/frozen-after/sidecar.py:1457(_carried_fast)
   302560    0.842    0.000    1.316    0.000 <scratch>/frozen-after/sidecar.py:884(_moved_box_direct)
  3947784    1.191    0.000    1.191    0.000 {built-in method builtins.round}
 10054256    0.960    0.000    1.070    0.000 {built-in method builtins.max}
 12619244    0.812    0.000    0.812    0.000 {built-in method builtins.abs}
  7760346    0.793    0.000    0.793    0.000 {method 'append' of 'list' objects}
  4442073    0.552    0.000    0.552    0.000 {method 'get' of 'dict' objects}
  1815360    0.360    0.000    0.488    0.000 <scratch>/frozen-after/sidecar.py:1015(_cell)
  1432752    0.457    0.000    0.457    0.000 <scratch>/frozen-after/sidecar.py:997(_boxes_miss)
  1079192    0.429    0.000    0.429    0.000 <scratch>/frozen-after/sidecar.py:1315(_slid)
  2615172    0.403    0.000    0.403    0.000 {method 'setdefault' of 'dict' objects}
       17    0.032    0.002    0.378    0.022 {built-in method builtins.sorted}
  2093188    0.295    0.000    0.295    0.000 {built-in method builtins.min}
  3237576    0.237    0.000    0.237    0.000 {built-in method math.isinf}
   907680    0.160    0.000    0.236    0.000 <scratch>/frozen-after/sidecar.py:1019(_grid_level)
        1    0.083    0.083    0.129    0.129 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\heapq.py:463(nsmallest)
  1815360    0.128    0.000    0.128    0.000 {built-in method math.floor}
  1617576    0.126    0.000    0.126    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:1805(wrapped)
  1210240    0.109    0.000    0.109    0.000 <scratch>/frozen-after/sidecar.py:1099(<genexpr>)
   830704    0.095    0.000    0.095    0.000 {built-in method builtins.len}
   921320    0.076    0.000    0.076    0.000 {built-in method math.ldexp}
