== 30: by own time ==
         61300657 function calls (55873999 primitive calls) in 28.685 seconds

   Ordered by: internal time
   List reduced from 108 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4216014/3    4.205    0.000    0.000    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\copy.py:119(deepcopy)
 605121/0    2.973    0.000    0.000          C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:1712(__init__)
 302956/9    2.030    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:203(__init__)
 13579335    1.969    0.000    1.969    0.000 {method 'get' of 'dict' objects}
 302481/0    1.901    0.000    0.000          C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:508(to_pnt)
   302560    1.559    0.000    1.559    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py:205(iterencode)
        5    1.294    0.259    1.294    0.259 {built-in method OCP.OCP.BRepBndLib.AddOptimal_s}
   297601    1.158    0.000    2.975    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\copy.py:201(_deepcopy_tuple)
   302561    1.052    0.000    3.731    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:1891(__deepcopy__)
  6054391    0.952    0.000    0.952    0.000 {built-in method builtins.isinstance}
   302560    0.826    0.000    3.975    0.000 C:/Users/damon/AppData/Local/Temp/claude/C--Users-damon-Downloads-agents/9c73bcba-7500-4641-9433-f7c8efd05843/scratchpad/meas/before/sidecar.py:1650(_shape_key)
   302560    0.793    0.000    0.793    0.000 {built-in method builtins.repr}
  7236666    0.736    0.000    0.736    0.000 {built-in method builtins.id}
  5446874    0.684    0.000    0.684    0.000 {method 'pop' of 'dict' objects}
   907684    0.576    0.000    0.811    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\copy.py:232(_keep_alive)
   907755    0.540    0.000    0.540    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:317(wrapped)
        5    0.536    0.107    0.536    0.107 {built-in method OCP.OCP.BRepTools.Clean_s}
   302560    0.503    0.000    2.738    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\json\__init__.py:183(dumps)
  3328187    0.466    0.000    0.466    0.000 {method 'append' of 'list' objects}
  3625772    0.444    0.000    0.444    0.000 {built-in method builtins.setattr}
   302560    0.404    0.000    2.126    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py:183(encode)
   302591    0.357    0.000    0.357    0.000 {built-in method OCP.OCP.TopoDS.TopoDS.Compound}
  1211763    0.332    0.000    0.444    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:211(<genexpr>)
   303576    0.278    0.000    0.721    0.000 {built-in method builtins.all}
   302561    0.216    0.000    0.311    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\copy.py:218(_deepcopy_dict)
  1195365    0.201    0.000    0.201    0.000 {built-in method builtins.getattr}
   302561    0.192    0.000    0.222    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\copy.py:192(_deepcopy_list)
  2117927    0.186    0.000    0.186    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\copy.py:173(_deepcopy_atomic)
   606106    0.185    0.000    0.185    0.000 {method 'join' of 'str' objects}
  1195365    0.161    0.000    0.161    0.000 {built-in method builtins.issubclass}
