utc,kernel_rss_mib,worker_rss_mib,cgroup_memory_current_mib
12:57:50,0,7,9
12:57:51,0,14,17
12:57:52,0,14,17
12:57:53,0,14,18
12:57:54,0,14,18
12:57:55,0,14,18
12:57:56,0,14,18
12:57:57,0,14,18
12:57:58,0,14,18
12:57:59,0,14,18
12:58:00,0,14,18
12:58:01,0,14,18
12:58:02,0,14,18
12:58:03,0,14,18
12:58:04,0,14,18
12:58:05,0,14,18
12:58:06,0,14,18
12:58:07,0,14,18
12:58:08,169,33,103
12:58:09,288,33,173
12:58:10,381,33,249
12:58:11,421,33,285
12:58:12,507,39,359
12:58:13,532,57,401
12:58:14,532,48,393
12:58:15,532,44,390
12:58:16,532,42,387
12:58:17,532,42,387
12:58:18,532,42,387
12:58:19,532,42,387
12:58:20,532,42,387
12:58:21,532,42,387
12:58:22,532,42,387
12:58:23,532,42,387
12:58:24,532,42,387
12:58:25,532,42,387
12:58:26,532,42,387
12:58:27,532,42,387
12:58:28,532,42,387
12:58:29,532,42,387
12:58:30,532,42,387
12:58:31,532,42,387
12:58:32,532,42,387
12:58:33,532,42,387
12:58:34,532,42,387
12:58:35,532,42,387
12:58:36,552,93,458
12:58:37,581,93,487
12:58:38,588,93,494
12:58:39,678,93,584
12:58:40,702,93,608
12:58:41,714,93,620
12:58:42,765,93,693
12:58:43,758,171,723
12:58:44,733,171,719
12:58:45,733,171,719
12:58:46,733,171,719
12:58:47,733,171,719
12:58:48,733,171,719
12:58:49,733,171,719
12:58:50,733,171,719
12:58:51,733,171,719
12:58:52,733,171,719
12:58:53,733,171,719
12:58:54,733,171,719
12:58:55,733,171,719
12:58:56,733,171,719
12:58:57,733,171,719
12:58:58,733,171,719
12:58:59,733,171,719
12:59:00,733,171,719
12:59:01,733,171,719
12:59:02,733,171,719
12:59:03,733,171,719
12:59:04,733,171,719
12:59:05,733,171,719
12:59:06,733,171,719
12:59:07,802,224,841
12:59:08,818,224,857
12:59:09,848,224,887
12:59:10,889,224,927
12:59:11,914,224,953
12:59:12,914,224,953
12:59:13,914,224,953
12:59:14,1021,224,1060
12:59:15,1134,224,1173
12:59:16,1195,224,1234
12:59:17,1198,224,1238
12:59:18,1249,224,1288
12:59:19,1323,224,1363
12:59:20,1384,224,1488
12:59:21,1385,227,1489
12:59:22,1280,475,1571
12:59:23,1280,475,1575
12:59:24,1280,475,1571
12:59:25,1280,475,1571
12:59:26,1280,475,1571
12:59:27,1280,475,1571
12:59:28,1280,475,1571
12:59:29,1280,475,1571
12:59:30,1280,475,1571
12:59:31,1280,475,1571
12:59:32,1280,475,1571
12:59:33,1280,475,1571
12:59:34,1280,475,1571
12:59:35,1280,475,1571
12:59:36,1280,475,1571
12:59:37,1280,475,1571
12:59:38,1280,475,1571
12:59:39,1280,475,1571
12:59:40,1280,475,1570
12:59:41,1280,475,1570
12:59:42,1280,475,1570
12:59:43,1280,475,1570
12:59:44,1280,475,1570
12:59:45,1280,475,1570
12:59:46,1280,475,1570
12:59:47,1280,475,1570
12:59:48,1280,475,1570
12:59:49,1280,475,1570
12:59:50,1280,475,1570
12:59:51,1280,475,1570
12:59:52,1280,475,1570
12:59:53,1280,475,1570
12:59:54,1280,475,1570
12:59:55,1280,475,1570
12:59:56,1280,475,1570
12:59:57,1280,475,1570
12:59:58,1280,475,1570
12:59:59,1280,475,1570
13:00:00,1280,475,1570
13:00:01,1280,475,1570
13:00:02,1280,475,1570
13:00:03,1280,475,1570
13:00:04,1280,475,1570
13:00:05,1280,475,1570
13:00:06,1280,475,1570
13:00:07,1280,475,1570
13:00:08,1280,475,1570
13:00:09,1280,475,1570
13:00:10,1280,475,1570
13:00:11,1280,475,1570
13:00:12,1280,475,1571
13:00:13,1280,475,1571
13:00:14,1280,475,1571
